module,source_file,line,source_unit,trigger_hint,kind,target_expression,normalized_target,target_screen,notes
trade,flutter_app/lib/features/trade/presentation/pages/active_copies_page.dart,82,active_copies_page.dart,Copy đang chạy | SC-066 ActiveCopiesPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/active_copies_page.dart,87,active_copies_page.dart,Copy đang chạy | SC-066 ActiveCopiesPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/active_copies_page.dart,123,active_copies_page.dart,Review active copy exposure,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/active_copies_page.dart,136,active_copies_page.dart,,context.go,"AppRoutePaths.tradeCopyProvider( copy.providerId, backPath: AppRoutePaths.tradeCopyActive, )",/trade/copy-provider/<copy.providerId>,CopyProviderDetailPage (/trade/copy-provider/:providerId),
trade,flutter_app/lib/features/trade/presentation/pages/active_copies_page.dart,142,active_copies_page.dart,,context.go,"AppRoutePaths.tradeCopyProviderConfiguration( copy.providerId, backPath: AppRoutePaths.tradeCopyActive, )",/trade/copy-provider/<copy.providerId>/configuration,CopyConfigurationPage (/trade/copy-provider/:providerId/configuration),
trade,flutter_app/lib/features/trade/presentation/pages/advanced_analytics_page_part_01.dart,29,advanced_analytics_page.dart,Advanced Analytics | AI & Professional Tools | SC-092 AdvancedAnalyticsPage,context.go,AppRoutePaths.tradeMargin,/trade/margin,MarginTradingPage (/trade/margin),
trade,flutter_app/lib/features/trade/presentation/pages/advanced_tools_demo_page.dart,78,advanced_tools_demo_page.dart,Advanced Trading Tools | SC-062 AdvancedToolsDemoPage,context.go,AppRoutePaths.trade,/trade,TradePage (/trade),
trade,flutter_app/lib/features/trade/presentation/pages/advanced_trading_demo_page.dart,75,advanced_trading_demo_page.dart,Advanced Trading | Position & Order Controls | SC-088 AdvancedTradingDemoPage,context.go,AppRoutePaths.tradeMargin,/trade/margin,MarginTradingPage (/trade/margin),
trade,flutter_app/lib/features/trade/presentation/pages/arm_integration_status_page.dart,84,arm_integration_status_page.dart,ARM Integration | Connection Health · Monitoring | SC-095 ARMIntegrationStatusPage,context.go,AppRoutePaths.tradeCopyRegulatoryReportsDashboard,/trade/copy-trading/regulatory-reports-dashboard,RegulatoryReportsDashboardPage (/trade/copy-trading/regulatory-reports-dashboard),
trade,flutter_app/lib/features/trade/presentation/pages/arm_integration_status_page.dart,117,arm_integration_status_page.dart,Review ARM integration health,context.go,AppRoutePaths.tradeCopyTransactionReporting,/trade/copy-trading/transaction-reporting,TransactionReportingPage (/trade/copy-trading/transaction-reporting),
trade,flutter_app/lib/features/trade/presentation/pages/arm_integration_status_page.dart,120,arm_integration_status_page.dart,,context.go,AppRoutePaths.tradeCopyRegulatoryReportsDashboard,/trade/copy-trading/regulatory-reports-dashboard,RegulatoryReportsDashboardPage (/trade/copy-trading/regulatory-reports-dashboard),
trade,flutter_app/lib/features/trade/presentation/pages/audit_trail_page.dart,72,audit_trail_page.dart,Audit Trail | MiFID II Record-Keeping | SC-115 AuditTrailPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/best_execution_reports_page.dart,76,best_execution_reports_page.dart,Best Execution Reports | RTS 27 / RTS 28 Compliance | SC-096 BestExecutionReportsPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/best_execution_reports_page.dart,103,best_execution_reports_page.dart,,context.go,AppRoutePaths.tradeCopyExecutionVenueAnalysis,/trade/copy-trading/execution-venue-analysis,ExecutionVenueAnalysisPage (/trade/copy-trading/execution-venue-analysis),
trade,flutter_app/lib/features/trade/presentation/pages/bot_api_documentation_page.dart,86,bot_api_documentation_page.dart,API Documentation | SC-134 BotAPIDocumentationPage,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_backtesting_page.dart,90,bot_backtesting_page.dart,Backtest Strategy | SC-125 BotBacktestingPage,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_drawdown_analyzer_page.dart,59,bot_drawdown_analyzer_page.dart,Drawdown Analyzer | SC-129 BotDrawdownAnalyzerPage,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_emergency_stop_page.dart,80,bot_emergency_stop_page.dart,Emergency Stop | SC-121 BotEmergencyStopPage,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_emergency_stop_page.dart,146,bot_emergency_stop_page.dart,Emergency stop review,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_emergency_stop_page.dart,170,bot_emergency_stop_page.dart,,context.go,result.redirectPath,,,dynamic_route_expression
trade,flutter_app/lib/features/trade/presentation/pages/bot_equity_curve_page.dart,67,bot_equity_curve_page.dart,Equity Curve | SC-130 BotEquityCurvePage,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_faq_page.dart,92,bot_faq_page.dart,Trading Bots FAQ | SC-132 BotFAQPage,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_guide_page.dart,67,bot_guide_page.dart,Trading Bots Guide | SC-131 BotGuidePage,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_history_page.dart,78,bot_history_page.dart,Trade History | SC-123 BotHistoryPage,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_optimization_page.dart,66,bot_optimization_page.dart,Parameter Optimization | SC-127 BotOptimizationPage,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_performance_analytics_page.dart,75,bot_performance_analytics_page.dart,Performance Analytics | SC-124 BotPerformanceAnalyticsPage,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_portfolio_dashboard_page.dart,59,bot_portfolio_dashboard_page.dart,Portfolio Dashboard | SC-128 BotPortfolioDashboardPage,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_risk_dashboard_page.dart,65,bot_risk_dashboard_page.dart,Risk Dashboard | SC-120 BotRiskDashboardPage,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_risk_dashboard_page.dart,70,bot_risk_dashboard_page.dart,Risk Dashboard | SC-120 BotRiskDashboardPage,context.go,snapshot.emergencyPath,,,dynamic_route_expression
trade,flutter_app/lib/features/trade/presentation/pages/bot_risk_dashboard_page.dart,115,bot_risk_dashboard_page.dart,,context.go,snapshot.emergencyPath,,,dynamic_route_expression
trade,flutter_app/lib/features/trade/presentation/pages/bot_risk_disclosure_page.dart,69,bot_risk_disclosure_page.dart,Risk Disclosure | SC-118 BotRiskDisclosurePage,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_risk_disclosure_page.dart,143,bot_risk_disclosure_page.dart,,context.go,snapshot.nextPath,,,dynamic_route_expression
trade,flutter_app/lib/features/trade/presentation/pages/bot_security_settings_page.dart,84,bot_security_settings_page.dart,Security Settings | SC-122 BotSecuritySettingsPage,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_strategy_compare_page.dart,77,bot_strategy_compare_page.dart,Strategy Compare | SC-126 BotStrategyComparePage,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_suitability_assessment_page.dart,76,bot_suitability_assessment_page.dart,SC-119 BotSuitabilityAssessmentPage,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_suitability_assessment_page.dart,144,bot_suitability_assessment_page.dart,,context.go,path,,,dynamic_route_expression
trade,flutter_app/lib/features/trade/presentation/pages/bot_tax_reporting_page.dart,92,bot_tax_reporting_page.dart,Tax Reporting | SC-133 BotTaxReportingPage,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_terms_of_service_page.dart,84,bot_terms_of_service_page.dart,Trading Bots Terms | SC-117 BotTermsOfServicePage,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/bot_terms_of_service_page.dart,155,bot_terms_of_service_page.dart,,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
trade,flutter_app/lib/features/trade/presentation/pages/cass_reconciliation_page.dart,75,cass_reconciliation_page.dart,CASS Reconciliation | Daily Client Money Matching | SC-103 CASSReconciliationPage,context.go,AppRoutePaths.tradeCopyClientMoneyProtection,/trade/copy-trading/client-money-protection,ClientMoneyProtectionPage (/trade/copy-trading/client-money-protection),
trade,flutter_app/lib/features/trade/presentation/pages/client_categorization_page_part_01.dart,33,client_categorization_page.dart,Client Categorization | MiFID II Classification | SC-099 ClientCategorizationPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/client_categorization_page_part_01.dart,155,client_categorization_page.dart,Client Opt-Up Request | MiFID II Classification | SC-099 ClientOptUpRequestPage,context.go,AppRoutePaths.tradeCopyClientCategorization,/trade/copy-trading/client-categorization,ClientCategorizationPage (/trade/copy-trading/client-categorization),
trade,flutter_app/lib/features/trade/presentation/pages/client_categorization_page_part_02.dart,219,client_categorization_page.dart,Start Opt-Up Application,context.go,AppRoutePaths.tradeCopyClientOptUpRequest,/trade/copy-trading/client-opt-up-request,ClientOptUpRequestPage (/trade/copy-trading/client-opt-up-request),
trade,flutter_app/lib/features/trade/presentation/pages/client_categorization_page_part_02.dart,437,client_categorization_page.dart,Disclosures | Settings,context.go,AppRoutePaths.tradeCopyRegulatoryDisclosures,/trade/copy-regulatory-disclosures,RegulatoryDisclosuresPage (/trade/copy-regulatory-disclosures),
trade,flutter_app/lib/features/trade/presentation/pages/client_categorization_page_part_02.dart,447,client_categorization_page.dart,Disclosures | Settings,context.go,AppRoutePaths.settingsSecurity,/settings/security,SecurityPage (/settings/security),
trade,flutter_app/lib/features/trade/presentation/pages/client_money_protection_page.dart,68,client_money_protection_page.dart,Client Money Protection | CASS 7 Compliance | SC-102 ClientMoneyProtectionPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/complaint_submission_page.dart,86,complaint_submission_page.dart,Submit Complaint | FCA Regulated Process | SC-112 ComplaintSubmissionPage,context.go,AppRoutePaths.tradeCopyComplaintsHandling,/trade/copy-trading/complaints-handling,ComplaintsHandlingPage (/trade/copy-trading/complaints-handling),
trade,flutter_app/lib/features/trade/presentation/pages/complaint_submission_page.dart,181,complaint_submission_page.dart,,context.go,"AppRoutePaths.tradeCopyComplaintTracking( snapshot.confirmationComplaintId, )",/trade/copy-trading/complaint-tracking/<snapshot.confirmationComplaintId>,ComplaintTrackingPage (/trade/copy-trading/complaint-tracking/:complaintId),
trade,flutter_app/lib/features/trade/presentation/pages/complaint_tracking_page.dart,62,complaint_tracking_page.dart,Complaint ${snapshot.complaintId} | SC-113 ComplaintTrackingPage,context.go,AppRoutePaths.tradeCopyComplaintsHandling,/trade/copy-trading/complaints-handling,ComplaintsHandlingPage (/trade/copy-trading/complaints-handling),
trade,flutter_app/lib/features/trade/presentation/pages/complaint_tracking_page.dart,446,complaint_tracking_page.dart,,context.go,routePath,,,dynamic_route_expression
trade,flutter_app/lib/features/trade/presentation/pages/complaints_handling_page.dart,74,complaints_handling_page.dart,Complaints Handling | FCA Regulated Process | SC-111 ComplaintsHandlingPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/copy_audit_log_page.dart,87,copy_audit_log_page.dart,Audit Log | SC-077 CopyAuditLogPage,context.go,AppRoutePaths.trade,/trade,TradePage (/trade),
trade,flutter_app/lib/features/trade/presentation/pages/copy_configuration_page.dart,172,copy_configuration_page.dart,Xem xác nhận,context.go,"AppRoutePaths.tradeCopyProviderConfirmation( widget.providerId, )",AppRoutePaths.tradeCopyProviderConfirmation(...),,
trade,flutter_app/lib/features/trade/presentation/pages/copy_confirmation_page.dart,88,copy_confirmation_page.dart,Xác nhận Copy | SC-073 CopyConfirmationPage,context.go,AppRoutePaths.tradeCopyProviderConfiguration(widget.providerId),/trade/copy-provider/<widget.providerId>/configuration,CopyConfigurationPage (/trade/copy-provider/:providerId/configuration),
trade,flutter_app/lib/features/trade/presentation/pages/copy_confirmation_page.dart,194,copy_confirmation_page.dart,,context.go,result.activeCopiesPath,,,dynamic_route_expression
trade,flutter_app/lib/features/trade/presentation/pages/copy_education_page.dart,69,copy_education_page.dart,Hướng dẫn Copy Trading | SC-065 CopyEducationPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/copy_education_page.dart,102,copy_education_page.dart,Review copy trading education,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/copy_notifications_page.dart,80,copy_notifications_page.dart,Thông báo | SC-068 CopyNotificationsPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/copy_notifications_page.dart,85,copy_notifications_page.dart,Thông báo | SC-068 CopyNotificationsPage,context.go,AppRoutePaths.tradeCopySettings,/trade/copy-trading/settings,CopySettingsPage (/trade/copy-trading/settings),
trade,flutter_app/lib/features/trade/presentation/pages/copy_notifications_page.dart,233,copy_notifications_page.dart,,context.go,path,,,dynamic_route_expression
trade,flutter_app/lib/features/trade/presentation/pages/copy_performance_page.dart,72,copy_performance_page.dart,Phân tích hiệu suất | SC-074 CopyPerformancePage,context.go,AppRoutePaths.trade,/trade,TradePage (/trade),
trade,flutter_app/lib/features/trade/presentation/pages/copy_provider_detail_page.dart,110,copy_provider_detail_page.dart,Provider detail review required,context.go,AppRoutePaths.tradeCopyProviderAssessment(providerId),AppRoutePaths.tradeCopyProviderAssessment(...),,
trade,flutter_app/lib/features/trade/presentation/pages/copy_safety_center_page.dart,72,copy_safety_center_page.dart,Safety Center | SC-083 CopySafetyCenterPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/copy_settings_page.dart,84,copy_settings_page.dart,Cài đặt Copy Trading | SC-067 CopySettingsPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/copy_trading_card_demo.dart,59,copy_trading_card_demo.dart,SC-401 CopyTradingCardDemo,context.go,snapshot.backRoute,,,dynamic_route_expression
trade,flutter_app/lib/features/trade/presentation/pages/copy_trading_page.dart,112,copy_trading_page.dart,No copy providers,context.go,AppRoutePaths.tradeCopyProvider(trader.id),/trade/copy-provider/<trader.id>,CopyProviderDetailPage (/trade/copy-provider/:providerId),
trade,flutter_app/lib/features/trade/presentation/pages/copy_trading_v2_page.dart,69,copy_trading_v2_page.dart,Copy Trading v2 | With Variant Switcher | SC-064 CopyTradingPageV2,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/copy_trading_v2_page.dart,106,copy_trading_v2_page.dart,,context.go,"AppRoutePaths.tradeCopyProvider( trader.id, backPath: AppRoutePaths.tradeCopyTradingV2, )",/trade/copy-provider/<trader.id>,CopyProviderDetailPage (/trade/copy-provider/:providerId),
trade,flutter_app/lib/features/trade/presentation/pages/dispute_resolution_page.dart,108,dispute_resolution_page.dart,Dispute Resolution | SC-082 DisputeResolutionPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/ex_ante_costs_page.dart,75,ex_ante_costs_page.dart,Cost Disclosure (Ex-Ante) | Before You Invest | SC-105 ExAnteCostsPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/ex_post_costs_report_page.dart,72,ex_post_costs_report_page.dart,Ex-Post Cost Report | Annual Actual Costs | SC-107 ExPostCostsReportPage,context.go,AppRoutePaths.tradeCopyExAnteCosts,/trade/copy-trading/ex-ante-costs,ExAnteCostsPage (/trade/copy-trading/ex-ante-costs),
trade,flutter_app/lib/features/trade/presentation/pages/execution_quality_demo_page.dart,83,execution_quality_demo_page.dart,Execution Quality | SC-061 ExecutionQualityDemoPage,context.go,AppRoutePaths.trade,/trade,TradePage (/trade),
trade,flutter_app/lib/features/trade/presentation/pages/execution_venue_analysis_page.dart,79,execution_venue_analysis_page.dart,Execution Venue Analysis | Detailed Comparison | SC-097 ExecutionVenueAnalysisPage,context.go,AppRoutePaths.tradeCopyBestExecutionReports,/trade/copy-trading/best-execution-reports,BestExecutionReportsPage (/trade/copy-trading/best-execution-reports),
trade,flutter_app/lib/features/trade/presentation/pages/futures_page_part_01.dart,44,futures_page.dart,SC-057 FuturesPage,context.go,AppRoutePaths.tradePair(widget.pairId),/trade/<widget.pairId>,TradePage (/trade/:pairId),
trade,flutter_app/lib/features/trade/presentation/pages/futures_page_part_01.dart,46,futures_page.dart,SC-057 FuturesPage,context.go,AppRoutePaths.tradeAdvancedChart(widget.pairId),/trade/advanced-chart/<widget.pairId>,AdvancedChartPage (/trade/advanced-chart/:pairId),
trade,flutter_app/lib/features/trade/presentation/pages/futures_page_part_01.dart,74,futures_page.dart,,context.go,AppRoutePaths.tradeFuturesLeverage(widget.pairId),/trade/<widget.pairId>/futures/leverage,LeveragePage (/trade/:pairId/futures/leverage),
trade,flutter_app/lib/features/trade/presentation/pages/investor_compensation_page.dart,71,investor_compensation_page.dart,Investor Compensation | FSCS Protection | SC-104 InvestorCompensationPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/kid_generator_page.dart,60,kid_generator_page.dart,Key Information Document | PRIIPs KID | SC-108 KIDGeneratorPage,context.go,AppRoutePaths.tradeCopyExAnteCosts,/trade/copy-trading/ex-ante-costs,ExAnteCostsPage (/trade/copy-trading/ex-ante-costs),
trade,flutter_app/lib/features/trade/presentation/pages/live_market_data_analytics_page.dart,60,live_market_data_analytics_page.dart,Live Market Analytics | Real-Time Data | SC-091 LiveMarketDataAnalyticsPage,context.go,AppRoutePaths.tradeMargin,/trade/margin,MarginTradingPage (/trade/margin),
trade,flutter_app/lib/features/trade/presentation/pages/margin_trading_hub_page.dart,61,margin_trading_hub_page.dart,Margin Trading Hub | Enterprise Features | SC-090 MarginTradingHubPage,context.go,AppRoutePaths.tradeMargin,/trade/margin,MarginTradingPage (/trade/margin),
trade,flutter_app/lib/features/trade/presentation/pages/market_data_analytics_page_part_01.dart,29,market_data_analytics_page.dart,Market Analytics | Data & Intelligence | SC-089 MarketDataAnalyticsPage,context.go,AppRoutePaths.tradeMargin,/trade/margin,MarginTradingPage (/trade/margin),
trade,flutter_app/lib/features/trade/presentation/pages/ombudsman_referral_page.dart,58,ombudsman_referral_page.dart,Financial Ombudsman | Independent Dispute Resolution | SC-114 OmbudsmanReferralPage,context.go,AppRoutePaths.tradeCopyComplaintsHandling,/trade/copy-trading/complaints-handling,ComplaintsHandlingPage (/trade/copy-trading/complaints-handling),
trade,flutter_app/lib/features/trade/presentation/pages/order_receipt_page.dart,120,order_receipt_page.dart,,context.go,AppRoutePaths.tradePair('btcusdt'),/trade/btcusdt,TradePage (/trade/:pairId),
trade,flutter_app/lib/features/trade/presentation/pages/orders_history_page.dart,72,orders_history_page.dart,Lịch sử lệnh | Lệnh · Trade | SC-050 OrdersHistoryPage,context.go,AppRoutePaths.trade,/trade,TradePage (/trade),
trade,flutter_app/lib/features/trade/presentation/pages/performance_attribution_page.dart,78,performance_attribution_page.dart,Phân tích hiệu suất | SC-075 PerformanceAttributionPage,context.go,AppRoutePaths.tradeCopyPerformance(widget.copyId),/trade/copy-performance/<widget.copyId>,CopyPerformancePage (/trade/copy-performance/:copyId),
trade,flutter_app/lib/features/trade/presentation/pages/performance_scenarios_page.dart,74,performance_scenarios_page.dart,Performance Scenarios | Potential Outcomes | SC-109 PerformanceScenariosPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/portfolio_risk_analysis_page.dart,68,portfolio_risk_analysis_page.dart,Phân tích rủi ro | SC-078 PortfolioRiskAnalysisPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/position_dashboard_page.dart,66,position_dashboard_page.dart,Vị thế đang mở | SC-053 PositionDashboardPage,context.go,AppRoutePaths.trade,/trade,TradePage (/trade),
trade,flutter_app/lib/features/trade/presentation/pages/pre_copy_assessment_page.dart,75,pre_copy_assessment_page.dart,SC-071 PreCopyAssessmentPage,context.go,AppRoutePaths.tradeCopyProvider(widget.providerId),/trade/copy-provider/<widget.providerId>,CopyProviderDetailPage (/trade/copy-provider/:providerId),
trade,flutter_app/lib/features/trade/presentation/pages/pre_copy_assessment_page.dart,247,pre_copy_assessment_page.dart,,context.go,AppRoutePaths.tradeCopyProviderConfiguration(snapshot.providerId),/trade/copy-provider/<snapshot.providerId>/configuration,CopyConfigurationPage (/trade/copy-provider/:providerId/configuration),
trade,flutter_app/lib/features/trade/presentation/pages/product_governance_page.dart,72,product_governance_page.dart,Product Governance | MiFID II Oversight | SC-100 ProductGovernancePage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/provider_application_page.dart,98,provider_application_page.dart,Đăng ký Provider | SC-069 ProviderApplicationPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/provider_application_page.dart,204,provider_application_page.dart,,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/provider_comparison_page.dart,54,provider_comparison_page.dart,So sánh Providers | SC-076 ProviderComparisonPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/provider_comparison_page.dart,59,provider_comparison_page.dart,So sánh Providers | SC-076 ProviderComparisonPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/provider_comparison_page.dart,89,provider_comparison_page.dart,+ Thêm provider,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/provider_governance_page.dart,78,provider_governance_page.dart,Provider Governance | SC-081 ProviderGovernancePage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/provider_leaderboard_page.dart,82,provider_leaderboard_page.dart,Leaderboard | SC-079 ProviderLeaderboardPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/provider_leaderboard_page.dart,135,provider_leaderboard_page.dart,,context.go,"AppRoutePaths.tradeCopyProvider( entry.$2.id, backPath: AppRoutePaths.tradeCopyLeaderboard, )",/trade/copy-provider/<entry.$2.id>,CopyProviderDetailPage (/trade/copy-provider/:providerId),
trade,flutter_app/lib/features/trade/presentation/pages/regulatory_disclosures_page.dart,74,regulatory_disclosures_page.dart,Regulatory Disclosures | SC-084 RegulatoryDisclosuresPage,context.go,AppRoutePaths.trade,/trade,TradePage (/trade),
trade,flutter_app/lib/features/trade/presentation/pages/regulatory_inspection_ready_page.dart,61,regulatory_inspection_ready_page.dart,Regulatory Compliance | Inspection Ready Dashboard | SC-116 RegulatoryInspectionReadyPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/regulatory_reports_dashboard_page_part_01.dart,34,regulatory_reports_dashboard_page.dart,Regulatory Reports | Dashboard - MiFID II - EMIR | SC-094 RegulatoryReportsDashboardPage,context.go,AppRoutePaths.tradeCopyTransactionReporting,/trade/copy-trading/transaction-reporting,TransactionReportingPage (/trade/copy-trading/transaction-reporting),
trade,flutter_app/lib/features/trade/presentation/pages/regulatory_reports_dashboard_page_part_01.dart,80,regulatory_reports_dashboard_page.dart,,context.go,AppRoutePaths.tradeCopyTransactionReporting,/trade/copy-trading/transaction-reporting,TransactionReportingPage (/trade/copy-trading/transaction-reporting),
trade,flutter_app/lib/features/trade/presentation/pages/regulatory_reports_dashboard_page_part_01.dart,83,regulatory_reports_dashboard_page.dart,,context.go,AppRoutePaths.tradeCopyArmIntegrationStatus,/trade/copy-trading/arm-integration-status,ArmIntegrationStatusPage (/trade/copy-trading/arm-integration-status),
trade,flutter_app/lib/features/trade/presentation/pages/risk_indicator_explainer_page.dart,60,risk_indicator_explainer_page.dart,Risk Indicator | Summary Risk Indicator (SRI) | SC-110 RiskIndicatorExplainerPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
trade,flutter_app/lib/features/trade/presentation/pages/risk_management_demo_page.dart,78,risk_management_demo_page.dart,Risk Management | SC-060 RiskManagementDemoPage,context.go,AppRoutePaths.trade,/trade,TradePage (/trade),
trade,flutter_app/lib/features/trade/presentation/pages/riy_calculator_page.dart,100,riy_calculator_page.dart,RIY Calculator | Cost Impact Analysis | SC-106 RIYCalculatorPage,context.go,AppRoutePaths.tradeCopyExAnteCosts,/trade/copy-trading/ex-ante-costs,ExAnteCostsPage (/trade/copy-trading/ex-ante-costs),
